"paperID","Article.Title","DOI","Pub_Year","Source.Title","Authors","latitude_site_decimal","longitude_site_decimal","Open_access","Data_access","survey","tot_area","BIOME_NAME","ECO_NAME","biome_keep","area_keep","district_keep","cor.lat","cor.long","cor.country","dists","tot.auth","prop.India"
"A0365","Quantifying Tree Diversity, Carbon Stocks, and Sequestration Potential for Diverse Land Uses in Northeast India","https://doi.org/10.3389/fenvs.2021.724950",2021,"FRONTIERS IN ENVIRONMENTAL SCIENCE","Sahoo, UK; Tripathi, OP; Nath, AJ; Deb, S; Das, DJ; Gupta, A; Devi, NB; Charturvedi, SS; Singh, SL; Kumar, A; Tiwari, BK",26,93,"y","n","plot-based or transects",0.294948198,"Tropical & Subtropical Moist Broadleaf Forests","Meghalaya subtropical forests",1,1,0,32.0568391,118.7789602,"China",2591.15,12,0.916666666666667
"A0386","COMMUNITY STRUCTURE AND REGENERATION STATUS OF TREE SPECIES IN KYONGNOSLA ALPINE SANCTUARY, EASTERN HIMALAYA, INDIA","https://doi.org/10.20886/ijfr.2021.8.2.241-257",2021,"INDONESIAN JOURNAL OF FORESTRY RESEARCH","Lahiri, S; Dash, SS",27.4,88.75,"y","n","plot-based or transects",0.008,"Montane Grasslands & Shrublands","Eastern Himalayan alpine shrub and meadows",1,1,1,22.5096075,88.3339513,"India",546.01,2,1
"A0408","Temporal dynamics of above ground biomass of Kaimoor Wildlife Sanctuary, Uttar Pradesh, India: conjunctive use of field and Landsat data","https://doi.org/10.1007/s43538-021-00046-1 ",2021,"PROCEEDINGS OF THE INDIAN NATIONAL SCIENCE ACADEMY","Goparaju, L; Madugundu, R; Ahmad, F; Sinha, D; Singh, JS",24.6114597,83.1481563,"y","y","plot-based or transects",0.0414,"Tropical & Subtropical Moist Broadleaf Forests","Lower Gangetic Plains moist deciduous forests",1,1,1,27.2178233,77.9783485,"India",593.3,5,0.8
"A0409","Canopy and understorey tree guilds respond differently to the environment in an Indian rain forest","https://doi.org/10.1111/jvs.13075",2021,"JOURNAL OF VEGETATION SCIENCE","Schmitt, S; Raevel, V; Rejou-Mechain, M; Ayyappan, N; Balachandran, N; Barathan, N; Rajashekar, G; Munoz, F",12.66,75.67,"n","y","plot-based or transects",0.099,"Tropical & Subtropical Moist Broadleaf Forests","North Western Ghats montane rain forests",1,0,1,5.1733184,-52.6537432,"French Guiana",13987.05,11,0.727272727272727
"A0416","Regeneration Potential of Forest Vegetation of Churdhar Wildlife Sanctuary of India: Implication for Forest Management","https://doi.org/10.1007/s11270-021-05315-9",2021,"WATER AIR AND SOIL POLLUTION","Thakur, U; Bisth, NS; Kumar, A; Kumar, M; Sahoo, UK",30.84167,77.4325,"unsure","n","plot-based or transects",0.001,"Deserts & Xeric Shrublands","Aravalli west thorn scrub forests",1,1,1,30.2278191,78.8035453,"India",148.16,5,0.8
"A0447","Biomass and vegetation carbon stock in mangrove forests of the Andaman Islands, India","https://doi.org/10.1007/s10750-021-04651-5",2021,"HYDROBIOLOGIA","Ragavan, P; Kumar, S; Kathiresan, K; Mohan, PM; Jayaraj, RSC; Ravichandaran, K; Rana, TS",12.56,92.82,"n","n","plot-based or transects",0.0173,"Mangroves","Andaman Islands rain forests",1,1,0,23.0371184,72.5489122,"India",2440.31,7,1
"A0450","Tree diversity and biomass carbon stock along an altitudinal gradient in old-growth secondary semi-evergreen forests in North East India","https://doi.org/10.1007/s42965-021-00185-y ",2022,"TROPICAL ECOLOGY","Nath, PC; Ahmed, A; Bania, JK; Majumdar, K; Nath, AJ; Das, AK",24.664051,92.987388,"y","n","plot-based or transects",0.0179968392,"Tropical & Subtropical Moist Broadleaf Forests","Mizoram-Manipur-Kachin rain forests",1,1,1,24.6849545,92.7511682,"India",24.01,6,1
"A0466","Are fragments fruitful? A comparison of plant-seed disperser communities between fragments and contiguous forest in north-east India","https://doi.org/10.1111/btp.12985",2021,"BIOTROPICA","Jain, A; Page, NV; Rawat, GS; Naniwadekar, R",27.66667,96.33333,"unsure","y","unsure",NA,"Temperate Broadleaf & Mixed Forests","Eastern Himalayan broadleaf forests",1,1,1,30.3077578,78.0490798,"India",1802.46,4,1
"A0472","Stand structure, community composition and tree species diversity of sub-tropical forest of Nagaland, Northeast India","https://doi.org/10.1007/s42965-021-00170-5",2021,"TROPICAL ECOLOGY","Ao, A; Changkija, S; Tripathi, SK",26.45833,94.8,"unsure","n","plot-based or transects",0.0239957856,"Tropical & Subtropical Moist Broadleaf Forests","Mizoram-Manipur-Kachin rain forests",1,1,1,23.7364942,92.6642456,"India",371.68,3,1
"A0475","Potential distribution of oak forests in the central Himalayas and implications for future ecosystem services supply to rural communities","https://doi.org/10.1016/j.ecoser.2021.101310",2021,"ECOSYSTEM SERVICES","Naudiyal, N; Schmerbeck, J",30.4,78.2,"n","n","plot-based or transects",0.045238934211693,"Tropical & Subtropical Moist Broadleaf Forests","Upper Gangetic Plains moist deciduous forests",1,1,1,28.5896001,77.2281304,"India",222.44,2,0.5
